word1	word2	SimLex999	POS	compound_count
betaalbaar	goedkoop	6.43	A	2
noodzakelijk	belangrijk	8.22	A	2
echtgenote	echtgenoot	7.6	N	2
vliegtuig	luchthaven	5.12	N	2
werkgever	werknemer	2.86	N	2
avondeten	maaltijd	6.14	N	2
misdaad	diefstal	7.38	N	2
badkamer	slaapkamer	2.03	N	2
bovenkant	zijkant	2.75	N	2
overeenkomst	voorwaarde	4.39	N	2
doelwit	zoektocht	1.91	N	2
basketbal	honkbal	2.53	N	2
misdaad	overtreding	6.31	N	2
onderkant	zijkant	2.15	N	2
uitgang	deuropening	4.64	N	2
uithoudingsvermogen	muziekgroep	0.87	N	2
broederschap	honkbal	1.5	N	2
plaatsvinden	voorkomen	5.26	V	2
aanmoedigen	ontmoedigen	1.71	V	2
samenwerken	deelnemen	4.21	V	2
bekendmaken	aankondigen	5.2	V	2
bijvoegen	samenvoegen	6.56	V	2
opnemen	intrekken	2.29	V	2
bijwonen	aankomen	1.32	V	2
