word1,word2,SimLex999,POS,emb1,emb2,similarity_score
oud,nieuw,1.94,A,"tensor([24.0479, -0.3200, 32.1239,  ..., 20.3792, 13.2179, 16.8367])","tensor([31.8642, -0.2964, 39.4570,  ..., 22.9365, 13.2558, 20.0085])",0.9953862
slim,intelligent,8.19,A,"tensor([27.0840, -0.2627, 39.2540,  ..., 23.2537, 13.1294, 19.5419])","tensor([19.4985, -0.0980, 23.1746,  ..., 11.3899, 10.6386, 10.9602])",0.9806711
hard,moeilijk,4.46,A,"tensor([20.4077, -0.1183, 21.9709,  ..., 12.3720, 10.7897, 10.6754])","tensor([26.2096, -0.2628, 33.2101,  ..., 17.6557, 11.4789, 15.9808])",0.9882202
gelukkig,vrolijk,6.49,A,"tensor([20.6892, -0.4348, 42.2072,  ..., 25.6110, 13.6992, 20.8619])","tensor([25.9254, -0.4450, 37.0086,  ..., 19.8947, 14.7259, 17.9454])",0.99148905
hard,stoer,5.69,A,"tensor([20.4077, -0.1183, 21.9709,  ..., 12.3720, 10.7897, 10.6754])","tensor([17.6566, -0.1346, 22.5181,  ..., 14.2022,  9.1568, 11.6504])",0.9888655
snel,razendsnel,7.18,A,"tensor([21.2420, -0.2162, 27.1763,  ..., 15.7167, 10.1961, 13.5775])","tensor([20.2061, -0.4599, 32.1450,  ..., 21.8243, 11.6561, 17.0985])",0.99163324
gelukkig,blij,7.09,A,"tensor([20.6892, -0.4348, 42.2072,  ..., 25.6110, 13.6992, 20.8619])","tensor([20.8122, -0.2108, 26.5739,  ..., 15.4689, 10.2363, 13.0484])",0.994357
kort,lang,1.78,A,"tensor([23.4191, -0.2306, 31.8577,  ..., 17.4044, 12.4323, 15.6466])","tensor([20.8764, -0.3051, 27.8892,  ..., 18.1169, 12.5384, 14.1347])",0.9917579
dom,stom,4.67,A,"tensor([14.8471, -0.4018, 37.3235,  ..., 21.7067, 13.5175, 18.2454])","tensor([19.7324, -0.2010, 25.7863,  ..., 17.4903, 10.7602, 13.1398])",0.99188465
vreemd,eigenaardig,7.41,A,"tensor([24.0111, -0.3608, 39.6087,  ..., 23.8231, 13.3571, 19.7590])","tensor([19.0411, -0.2499, 26.2835,  ..., 14.8777, 10.6383, 12.7281])",0.99318904
